serial_no,line_counter,datetime,code_space,tag_id,sensor_adc,signal_level,noise_level,channel,latitude,longitude,total_dt,dt,delta_tof,delta_distance,total_distance
,,2022-09-23 11:28:02.459099,,,,,,,33.742966833333334,-118.12450316666667,,,,,
,,2022-09-23 11:28:11.474554,,,,,,,33.74289016666667,-118.12460366666667,,,,,
,,2022-09-23 11:28:20.476470,,,,,,,33.742844166666664,-118.124718,,,,,
,,2022-09-23 11:28:29.476893,,,,,,,33.742842333333336,-118.1248495,,,,,
,,2022-09-23 11:28:38.487112,,,,,,,33.742834,-118.12496516666667,,,,,
,,2022-09-23 11:28:47.489251,,,,,,,33.74278616666667,-118.12501733333333,,,,,
,,2022-09-23 11:28:56.490678,,,,,,,33.7427035,-118.12504716666666,,,,,
,,2022-09-23 11:29:05.506046,,,,,,,33.7426045,-118.12510283333333,,,,,
,,2022-09-23 11:29:14.507086,,,,,,,33.7425275,-118.12517283333334,,,,,
,,2022-09-23 11:29:23.522327,,,,,,,33.742451833333334,-118.12526,,,,,
,,2022-09-23 11:29:32.535593,,,,,,,33.742372333333336,-118.12533883333333,,,,,
,,2022-09-23 11:29:41.539351,,,,,,,33.74231483333333,-118.12543233333334,,,,,
,,2022-09-23 11:29:50.550705,,,,,,,33.7422685,-118.12554183333333,,,,,
,,2022-09-23 11:30:01.447682,,,,,,,33.74217133333333,-118.1256105,,,,,
,,2022-09-23 11:30:10.448184,,,,,,,33.742083,-118.12566666666666,,,,,
,,2022-09-23 11:30:19.453714,,,,,,,33.741991166666665,-118.12572483333334,,,,,
,,2022-09-23 11:30:28.459200,,,,,,,33.74189466666667,-118.12575466666667,,,,,
,,2022-09-23 11:30:37.464734,,,,,,,33.741812333333336,-118.12580366666667,,,,,
,,2022-09-23 11:30:46.470181,,,,,,,33.741723666666665,-118.12584883333334,,,,,
,,2022-09-23 11:30:55.476201,,,,,,,33.741627,-118.125875,,,,,
,,2022-09-23 11:31:04.489565,,,,,,,33.741536833333335,-118.12590183333333,,,,,
,,2022-09-23 11:31:13.502098,,,,,,,33.74145566666667,-118.1259305,,,,,
,,2022-09-23 11:31:22.503055,,,,,,,33.741372,-118.12595283333333,,,,,
,,2022-09-23 11:31:31.509046,,,,,,,33.74129683333334,-118.12596733333334,,,,,
,,2022-09-23 11:31:40.514545,,,,,,,33.74125866666667,-118.125987,,,,,
,,2022-09-23 11:31:49.519549,,,,,,,33.741236,-118.125992,,,,,
457049,1,2022-09-23 11:31:54.787000,A69-1601,3315,,40.5,25.5,0,33.74122783333333,-118.1259895,0.0,0,0,0,0
,,2022-09-23 11:32:05.438048,,,,,,,33.74122466666667,-118.12597833333334,,,,,
,,2022-09-23 11:32:14.443555,,,,,,,33.74122466666667,-118.12595716666667,,,,,
,,2022-09-23 11:32:23.449072,,,,,,,33.741239,-118.12592233333334,,,,,
,,2022-09-23 11:32:32.454559,,,,,,,33.74124416666667,-118.1258935,,,,,
,,2022-09-23 11:32:41.460545,,,,,,,33.741248166666665,-118.1258655,,,,,
,,2022-09-23 11:32:50.466070,,,,,,,33.74126416666667,-118.12583383333333,,,,,
,,2022-09-23 11:32:59.471079,,,,,,,33.74127383333333,-118.1258025,,,,,
,,2022-09-23 11:33:08.477075,,,,,,,33.741290166666666,-118.125776,,,,,
,,2022-09-23 11:33:17.482569,,,,,,,33.7413055,-118.12575216666667,,,,,
,,2022-09-23 11:33:26.487420,,,,,,,33.7413215,-118.12572183333333,,,,,
,,2022-09-23 11:33:35.492919,,,,,,,33.74133533333333,-118.125698,,,,,
,,2022-09-23 11:33:44.498417,,,,,,,33.741322333333336,-118.12566283333334,,,,,
,,2022-09-23 11:33:53.503917,,,,,,,33.741294833333335,-118.1256425,,,,,
,,2022-09-23 11:34:02.508927,,,,,,,33.74128266666666,-118.12568033333334,,,,,
,,2022-09-23 11:34:11.514490,,,,,,,33.741290666666664,-118.125767,,,,,
,,2022-09-23 11:34:20.519932,,,,,,,33.741299833333336,-118.12586566666667,,,,,
