Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-07-21,10:50:44.685,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92689,-85.79824,
2022-07-21,10:50:36.506,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92689,-85.79825,
2022-07-21,10:50:28.330,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,61,Manual,0,10.92688,-85.79824,
2022-07-21,10:50:20.155,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92688,-85.79824,
2022-07-21,10:50:11.976,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92687,-85.79823,
2022-07-21,10:49:47.443,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92683,-85.79823,
2022-07-21,10:49:39.265,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92682,-85.79822,
2022-07-21,10:49:31.088,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92682,-85.79821,
2022-07-21,10:49:22.910,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,60,Manual,0,10.92681,-85.79822,
2022-07-21,10:49:14.730,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,60,Manual,0,10.92680,-85.79822,
2022-07-21,10:49:06.549,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92679,-85.79823,
2022-07-21,10:48:58.370,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,61,Manual,0,10.92677,-85.79824,
2022-07-21,10:48:50.190,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,62,Manual,0,10.92675,-85.79825,
2022-07-21,10:48:33.828,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92670,-85.79828,
2022-07-21,10:48:25.649,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,60,Manual,0,10.92667,-85.79829,
2022-07-21,10:48:17.468,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92666,-85.79829,
2022-07-21,10:48:09.286,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,61,Manual,0,10.92664,-85.79832,
2022-07-21,10:48:01.106,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,0,10.92662,-85.79832,
2022-07-21,10:47:52.926,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92660,-85.79833,
2022-07-21,10:47:44.746,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,62,Manual,0,10.92660,-85.79833,
