datetime,latitude,longitude
2022-07-21 14:50:28+00:00,10.926410593092442,-85.79638830386102
2022-07-21 14:52:11+00:00,10.926575046032667,-85.79630808904767
2022-07-21 14:53:41+00:00,10.926474714651704,-85.79636223614216
2022-07-21 14:53:43+00:00,10.926411934196949,-85.79637631773949
2022-07-21 14:53:54+00:00,10.926264664158225,-85.79642199911177
2022-07-21 14:54:06+00:00,10.926207331940532,-85.79644974321127
2022-07-21 14:54:15+00:00,10.926178665831685,-85.79645762220025
2022-07-21 14:54:26+00:00,10.92616282403469,-85.79649073071778
2022-07-21 14:54:41+00:00,10.926153855398297,-85.79653817228973
2022-07-21 14:54:56+00:00,10.92615008354187,-85.79659718088806
2022-07-21 14:55:09+00:00,10.926177995279431,-85.79662173986435
2022-07-21 14:55:25+00:00,10.926234321668744,-85.7966332230717
2022-07-21 14:55:38+00:00,10.926274973899126,-85.79663104377687
2022-07-21 14:55:59+00:00,10.926349069923162,-85.79664177261293
2022-07-21 14:56:12+00:00,10.926391398534179,-85.79665057361126
2022-07-21 14:56:25+00:00,10.926427356898785,-85.79666381701827
2022-07-21 14:56:36+00:00,10.926459627225995,-85.79667295329273
2022-07-21 14:56:52+00:00,10.926511259749532,-85.79668217338622
2022-07-21 14:57:09+00:00,10.926563311368227,-85.79668066464365
2022-07-21 14:57:24+00:00,10.926570687443018,-85.79672559164464
2022-07-21 14:57:40+00:00,10.926529113203287,-85.79675635322928
2022-07-21 14:57:57+00:00,10.92644914984703,-85.79672215506434
2022-07-21 14:58:16+00:00,10.92634554952383,-85.79664864577353
2022-07-21 14:58:31+00:00,10.926251169294119,-85.79664261080325
2022-07-21 14:58:37+00:00,10.926226861774921,-85.79664437100291
2022-07-21 14:58:48+00:00,10.926192412152886,-85.7966538425535
2022-07-21 14:59:08+00:00,10.926163159310818,-85.79667110927403
2022-07-21 15:05:15+00:00,10.925742387771606,-85.79644387587905
2022-07-21 15:07:37+00:00,10.925602242350578,-85.7965637370944
2022-07-21 15:33:49+00:00,10.925368135794997,-85.79575161449611
