datetime,latitude,longitude
2022-07-21 08:50:28+00:00,10.92641059,-85.7963883
2022-07-21 08:52:11+00:00,10.92657505,-85.79630809
2022-07-21 08:53:41+00:00,10.92647471,-85.79636224
2022-07-21 08:53:43+00:00,10.92641193,-85.79637632
2022-07-21 08:53:54+00:00,10.92626466,-85.796422
2022-07-21 08:54:06+00:00,10.92620733,-85.79644974
2022-07-21 08:54:15+00:00,10.92617867,-85.79645762
2022-07-21 08:54:26+00:00,10.92616282,-85.79649073
2022-07-21 08:54:41+00:00,10.92615386,-85.79653817
2022-07-21 08:54:56+00:00,10.92615008,-85.79659718
2022-07-21 08:55:09+00:00,10.926178,-85.79662174
2022-07-21 08:55:25+00:00,10.92623432,-85.79663322
2022-07-21 08:55:38+00:00,10.92627497,-85.79663104
2022-07-21 08:55:59+00:00,10.92634907,-85.79664177
2022-07-21 08:56:12+00:00,10.9263914,-85.79665057
2022-07-21 08:56:25+00:00,10.92642736,-85.79666382
2022-07-21 08:56:36+00:00,10.92645963,-85.79667295
2022-07-21 08:56:52+00:00,10.92651126,-85.79668217
2022-07-21 08:57:09+00:00,10.92656331,-85.79668066
2022-07-21 08:57:24+00:00,10.92657069,-85.79672559
2022-07-21 08:57:40+00:00,10.92652911,-85.79675635
2022-07-21 08:57:57+00:00,10.92644915,-85.79672216
2022-07-21 08:58:16+00:00,10.92634555,-85.79664865
2022-07-21 08:58:31+00:00,10.92625117,-85.79664261
2022-07-21 08:58:37+00:00,10.92622686,-85.79664437
2022-07-21 08:58:48+00:00,10.92619241,-85.79665384
2022-07-21 08:59:08+00:00,10.92616316,-85.79667111
2022-07-21 09:05:15+00:00,10.92574239,-85.79644388
2022-07-21 09:07:37+00:00,10.92560224,-85.79656374
2022-07-21 09:33:49+00:00,10.92536814,-85.79575161
2022-07-21 09:34:50+00:00,10.92567768,-85.79522875
2022-07-21 09:34:51+00:00,10.92568715,-85.795229
2022-07-21 09:34:54+00:00,10.92569461,-85.79522314
2022-07-21 09:35:00+00:00,10.92569604,-85.79524627
2022-07-21 09:35:15+00:00,10.92574373,-85.79527586
2022-07-21 09:44:38+00:00,10.92571372,-85.79516807
2022-07-21 09:44:50+00:00,10.92563719,-85.79532431
2022-07-21 09:44:57+00:00,10.9255973,-85.79539253
2022-07-21 09:45:06+00:00,10.92558858,-85.79534677
