serial_no,line_counter,datetime,code_space,tag_id,sensor_adc,signal_level,noise_level,channel,latitude,longitude,total_dt,dt,delta_tof,delta_distance,total_distance,gps_distance,x,y,relative_tag_bearing,tag_bearing,gps_speed,gps_delta_tof,gps_heading
,,2022-07-13 08:02:40.685132,,,,,,,10.932408333333331,-85.79003716666666,,,,,,0.0,0.0,0.0,,,,0.00042427179732725694,0.0
,,2022-07-13 08:02:41.696149,,,,,,,10.932408333333331,-85.7900315,,,,,,0.6194368240977951,0.6186700656616859,0.0,,3.141592653589793,,0.0004741861262994059,0.0
,,2022-07-13 08:02:42.709463,,,,,,,10.932408333333331,-85.79002516666667,,,,,,1.3117485684949277,1.3101248462378992,0.0,,3.141592653589793,,0.0005116218730285183,0.0
,,2022-07-13 08:02:43.710168,,,,,,,10.932408333333331,-85.79001833333334,,,,,,2.0587165031165644,2.0561681609165463,0.0,,3.141592653589793,,0.00048670674012955926,-0.026109035783685806
,,2022-07-13 08:02:44.721630,,,,,,,10.932408166666669,-85.79001183333334,,,,,,2.769308343705721,2.765819119526904,-0.018532513555760133,,3.1348922023279564,,0.0005616238882110061,0.06779486718610468
,,2022-07-13 08:02:45.733561,,,,,,,10.932408666666667,-85.79000433333333,,,,,,3.58927922049379,3.5846471491200784,0.0370650281725064,,-3.131253084369152,,0.0005381525064466466,0.14116872488728185
,,2022-07-13 08:02:46.746022,,,,,,,10.932409666666668,-85.78999716666667,,,,,,4.374981879905894,4.3670828212559885,0.1482601119827015,,-3.1076562256461955,,0.0005511541631363362,0.11522415035412399
,,2022-07-13 08:02:47.756026,,,,,,,10.9324105,-85.78998983333334,,,,,,5.179666958084945,5.167714671426044,0.2409226815298124,,-3.0950056463419466,,0.0005221274269951385,0.3346912407505789
,,2022-07-13 08:02:48.764904,,,,,,,10.932412833333334,-85.789983,,,,,,5.941973001497847,5.913757987493666,0.500377876969047,,-3.0571812071126843,,0.0005681506544971312,0.37489483859924205
,,2022-07-13 08:02:49.778818,,,,,,,10.932415666666667,-85.78997566666666,,,,,,6.771472957063659,6.714389839052695,0.815430614313379,,-3.02073925854089,,0.0005579726965072104,0.49008049249357605
,,2022-07-13 08:02:50.793334,,,,,,,10.932419333333334,-85.78996866666667,,,,,,7.586113093964186,7.478629331765487,1.2231459212048221,,-2.9794758367473513,,0.0005919394856220483,0.48922205491025456
,,2022-07-13 08:02:51.807676,,,,,,,10.932423166666666,-85.78996133333334,,,,,,8.450344742972376,8.279261181935542,1.6493937420056872,,-2.9449472840286166,,0.0005770217691211472,0.4423980797455797
,,2022-07-13 08:02:52.816648,,,,,,,10.9324265,-85.78995416666666,,,,,,9.292796525889251,9.061696855460427,2.0200440212551167,,-2.9222577548870934,,0.0005433138489407324,0.5598634265323884
,,2022-07-13 08:02:53.824874,,,,,,,10.9324305,-85.78994766666666,,,,,,10.08603474534272,9.771347814070785,2.4648243561422354,,-2.89449728714741,,0.0005837861486031699,0.6681978094270792
,,2022-07-13 08:02:54.834254,,,,,,,10.932435666666668,-85.789941,,,,,,10.938362522303349,10.499194950715287,3.039332288748971,,-2.8598127324358327,,0.0006227189694053166,0.7296450484398591
,,2022-07-13 08:02:55.845232,,,,,,,10.932441666666668,-85.78993416666667,,,,,,11.847532217635111,11.245238265393935,3.7065027910796484,,-2.82320005787414,,0.0006961302100182727,0.7357460055485158
,,2022-07-13 08:02:56.854933,,,,,,,10.932448333333332,-85.78992666666667,,,,,,12.86388232426179,12.064066294987107,4.447803348871184,,-2.7883725783033904,,0.0007682263646402527,0.7732770958914768
,,2022-07-13 08:02:57.864001,,,,,,,10.932456,-85.78991866666667,,,,,,13.985492816636558,12.93748286007169,5.300298991003407,,-2.7527647023818425,,0.0007631892938771634,0.7396193622904442
,,2022-07-13 08:02:58.872687,,,,,,,10.932463166666668,-85.78991066666667,,,,,,15.099749185697217,13.8108994237673,6.097197091230533,,-2.7258488596815265,,0.0008088570450321726,0.7209171952380405
,,2022-07-13 08:02:59.881167,,,,,,,10.9324705,-85.78990216666666,,,,,,16.28068047144419,14.738904524343289,6.91262770519025,,-2.7030466178036097,,0.0008473570604741425,0.7238862102860797
,,2022-07-13 08:03:00.889637,,,,,,,10.932478166666666,-85.78989333333334,,,,,,17.517821779736437,15.703301979598594,7.765123346791981,,-2.682362877859572,,0.0008522466872942821,0.7545539434262412
,,2022-07-13 08:03:01.898226,,,,,,,10.932486166666669,-85.78988466666667,,,,,,18.76210194318609,16.649503258208732,8.654684016919878,,-2.662217933046553,,0.000818872234787113,0.8048604433435181
,,2022-07-13 08:03:02.905483,,,,,,,10.932494333333333,-85.78987666666667,,,,,,19.957655405975274,17.522919821904335,9.562777200426707,,-2.6420339200323832,,0.000855484396545908,0.628937377264114
,,2022-07-13 08:03:03.915015,,,,,,,10.932501,-85.78986733333333,,,,,,21.2066626249323,18.541905815428997,10.304077758571905,,-2.6343697396014454,,0.0008434395092158096,0.45092566866697237
,,2022-07-13 08:03:04.921319,,,,,,,10.932505833333334,-85.78985716666666,,,,,,22.43808430838738,19.651872699124386,10.841520663359796,,-2.6374614850077207,,0.0008244524120087516,0.37554124396978594
,,2022-07-13 08:03:05.928143,,,,,,,10.932509833333333,-85.78984683333333,,,,,,23.64178482992016,20.78003576224289,11.286300998070082,,-2.6440377181157713,,0.0008293813352561907,0.3225213696221504
,,2022-07-13 08:03:06.936525,,,,,,,10.932513333333333,-85.78983616666666,,,,,,24.852681579394197,21.944591181429683,11.675483791052104,,-2.65263982290492,,0.0008397803456006061,0.18958378520938152
