datetime,Latitude,Longitude,Vehicle Speed (Kn),C True Heading
2022-07-01 09:44:27.921767,33.742151166666666,-118.1231005,0.0,118.4
2022-07-01 09:44:29.040831,33.742126999999996,-118.12312683333333,0.0,123.1
2022-07-01 09:44:30.043889,33.742126999999996,-118.12312683333333,0.0,123.1
2022-07-01 09:44:31.163953,33.742109166666665,-118.12314533333333,0.0,131.2
2022-07-01 09:44:32.167010,33.742109166666665,-118.12314533333333,0.0,131.2
2022-07-01 09:44:33.287074,33.742094333333334,-118.123164,0.0,133.9
2022-07-01 09:44:34.290131,33.742094333333334,-118.123164,0.0,133.9
2022-07-01 09:44:35.410195,33.7420815,-118.1231895,0.0,150.1
2022-07-01 09:44:36.413253,33.7420815,-118.1231895,0.0,150.1
2022-07-01 09:44:37.533317,33.742072,-118.12321066666667,0.0,161.2
2022-07-01 09:44:38.536374,33.742072,-118.12321066666667,0.0,161.2
2022-07-01 09:44:39.656438,33.7420755,-118.12322816666666,0.0,175.3
2022-07-01 09:44:40.659496,33.7420755,-118.12322816666666,0.0,175.3
2022-07-01 09:44:41.779560,33.742084166666665,-118.12324516666666,0.0,192.3
2022-07-01 09:44:42.782617,33.742084166666665,-118.12324516666666,0.0,192.3
2022-07-01 09:44:43.901681,33.742092,-118.1232635,0.0,204.6
2022-07-01 09:44:44.904739,33.742092,-118.1232635,0.0,204.6
2022-07-01 09:44:46.023803,33.742110833333335,-118.1232865,0.0,224.1
2022-07-01 09:44:47.026860,33.742110833333335,-118.1232865,0.0,224.1
2022-07-01 09:44:48.145924,33.742126999999996,-118.123297,0.0,244.1
2022-07-01 09:44:49.148981,33.742126999999996,-118.123297,0.0,244.1
2022-07-01 09:44:50.268045,33.742142333333334,-118.12330116666666,0.0,266.3
2022-07-01 09:44:51.271103,33.742142333333334,-118.12330116666666,0.0,266.3
2022-07-01 09:44:52.390167,33.74215816666667,-118.1232995,0.0,284.3
2022-07-01 09:44:53.393224,33.74215816666667,-118.1232995,0.0,284.3
2022-07-01 09:44:54.512288,33.74217266666667,-118.12329183333334,0.0,294.9
2022-07-01 09:44:55.515345,33.74217266666667,-118.12329183333334,0.0,294.9
2022-07-01 09:44:56.634409,33.74219,-118.1232775,0.0,314.7
2022-07-01 09:44:57.637467,33.74219,-118.1232775,0.0,314.7
2022-07-01 09:44:58.757531,33.7422185,-118.12325333333334,0.0,323.9
2022-07-01 09:44:59.760588,33.7422185,-118.12325333333334,0.0,323.9
2022-07-01 09:45:00.880652,33.742241666666665,-118.12322266666666,0.0,322.1
2022-07-01 09:45:01.883710,33.742241666666665,-118.12322266666666,0.0,322.1
2022-07-01 09:45:03.003774,33.74225766666667,-118.12318333333333,0.0,319.5
2022-07-01 09:45:04.006831,33.74225766666667,-118.12318333333333,0.0,319.5
2022-07-01 09:45:05.125895,33.74226266666667,-118.12315666666667,0.0,321.4
2022-07-01 09:45:06.128952,33.74226266666667,-118.12315666666667,0.0,321.4
2022-07-01 09:45:07.250017,33.74227,-118.12312183333333,0.0,313.8
2022-07-01 09:45:08.253074,33.74227,-118.12312183333333,0.0,313.8
2022-07-01 09:45:09.372138,33.742281166666665,-118.12307983333334,0.0,317.6
2022-07-01 09:45:10.375195,33.742281166666665,-118.12307983333334,0.0,317.6
2022-07-01 09:45:11.495259,33.742287,-118.12304233333333,0.0,338.3
2022-07-01 09:45:12.498317,33.742287,-118.12304233333333,0.0,338.3
2022-07-01 09:45:13.618381,33.742298166666664,-118.12300933333333,0.0,332.3
2022-07-01 09:45:14.621438,33.742298166666664,-118.12300933333333,0.0,332.3
2022-07-01 09:45:15.739502,33.74231133333333,-118.12298133333333,0.0,324.7
2022-07-01 09:45:16.742560,33.74231133333333,-118.12298133333333,0.0,324.7
2022-07-01 09:45:17.862624,33.742328,-118.12294666666666,0.0,317.3
2022-07-01 09:45:18.865681,33.742328,-118.12294666666666,0.0,317.3
2022-07-01 09:45:19.985745,33.74234633333333,-118.12291616666667,0.0,301.1
2022-07-01 09:45:20.988802,33.74234633333333,-118.12291616666667,0.0,301.1
2022-07-01 09:45:22.108866,33.742374166666664,-118.122875,0.0,285.7
2022-07-01 09:45:23.111924,33.742374166666664,-118.122875,0.0,285.7
2022-07-01 09:45:24.230988,33.7423915,-118.12284966666667,0.0,269.2
2022-07-01 09:45:25.234045,33.7423915,-118.12284966666667,0.0,269.2
2022-07-01 09:45:26.354109,33.7424135,-118.12283216666667,0.0,249.8
2022-07-01 09:45:27.357167,33.7424135,-118.12283216666667,0.0,249.8
2022-07-01 09:45:28.477231,33.742428333333336,-118.1228225,0.0,237.6
2022-07-01 09:45:29.480288,33.742428333333336,-118.1228225,0.0,237.6
2022-07-01 09:45:30.599352,33.74244316666667,-118.122821,0.0,226.0
2022-07-01 09:45:31.602409,33.74244316666667,-118.122821,0.0,226.0
2022-07-01 09:45:32.721473,33.742460666666666,-118.12282266666666,0.0,222.0
2022-07-01 09:45:33.724531,33.742460666666666,-118.12282266666666,0.0,222.0
2022-07-01 09:45:34.844595,33.742482333333335,-118.12282566666667,0.0,216.7
2022-07-01 09:45:35.847652,33.742482333333335,-118.12282566666667,0.0,216.7
2022-07-01 09:45:36.967716,33.74250833333333,-118.12282966666666,0.0,213.9
2022-07-01 09:45:37.970774,33.74250833333333,-118.12282966666666,0.0,213.9
2022-07-01 09:45:39.090838,33.742552333333336,-118.122839,0.0,208.3
2022-07-01 09:45:40.093895,33.742552333333336,-118.122839,0.0,208.3
2022-07-01 09:45:41.213959,33.742578,-118.122847,0.0,207.9
2022-07-01 09:45:42.217017,33.742578,-118.122847,0.0,207.9
2022-07-01 09:45:43.337081,33.742602166666664,-118.12285616666666,0.0,210.1
2022-07-01 09:45:44.340138,33.742602166666664,-118.12285616666666,0.0,210.1
2022-07-01 09:45:45.460202,33.7426275,-118.12286483333334,0.0,210.5
2022-07-01 09:45:46.463259,33.7426275,-118.12286483333334,0.0,210.5
