datetime,latitude,longitude,gps_distance,x,y,relative_tag_bearing,tag_bearing,gps_speed,gps_delta_tof,gps_heading
2022-07-18 19:39:14+00:00,10.922271274030209,-85.79158178530633,0.0,0.0,0.0,,,,,
2022-07-18 19:39:15+00:00,10.922271274030209,-85.79158178530633,0.0,0.0,0.0,,,,,
2022-07-18 19:39:16+00:00,10.922271274030209,-85.79158178530633,0.0,0.0,0.0,,,0.0,0.0,
2022-07-18 19:39:19+00:00,10.922271274030209,-85.79158178530633,0.0,0.0,0.0,,,0.20803017073787222,0.00028497283662722223,3.006624995871137
2022-07-18 19:39:25+00:00,10.9222717769444,-85.79158555716276,0.41606034147574444,-0.4118143014091227,0.055921585637154436,,-0.13496765771865596,0.002703973635932,9.26018368469863e-06,1.5707963267948966
2022-07-18 19:39:26+00:00,10.92227236367762,-85.79158555716276,0.42958020965540444,-0.4118143014091227,0.12116343525244958,,-0.28614437241437785,0.0002448186067958713,1.8445237498319072e-06,1.5707963267948966
2022-07-18 19:39:27+00:00,10.922272447496653,-85.79158555716276,0.43227321433015903,-0.4118143014091227,0.13048369958425232,,-0.30684368147844115,0.0,0.0,
2022-07-18 19:39:28+00:00,10.922272447496653,-85.79158555716276,0.43227321433015903,-0.4118143014091227,0.13048369958425232,,-0.30684368147844115,0.0,0.0,
2022-07-18 19:39:29+00:00,10.922272447496653,-85.79158555716276,0.43227321433015903,-0.4118143014091227,0.13048369958425232,,-0.30684368147844115,0.0006535832235251718,6.267236389967401e-06,1.5707963267948966
2022-07-18 19:39:37+00:00,10.922272698953748,-85.79158555716276,0.44142337945951143,-0.4118143014091227,0.15844449222599852,,-0.36728885398246874,-0.02139151275283669,-0.0002197758159538016,-0.4454030702538249
2022-07-18 19:39:42+00:00,10.922271441668272,-85.79158287495375,0.1205506881669611,-0.11896857590090112,0.01864052848677447,,-0.15542083125658102,0.06646050256133333,0.0010469805198018265,-0.8282068807418906
2022-07-18 19:39:56+00:00,10.922259874641895,-85.79157206229866,1.6491422470776278,1.0615657560090697,-1.2675559378079881,,2.2679828629883017,0.14991441492760058,0.0028750709712142574,-1.4376010388425402
2022-07-18 19:40:16+00:00,10.92222056351602,-85.79156669788063,5.846745865050444,1.6472572070255127,-5.638759870874313,,1.8550184179226537,0.2992734380718626,0.008609235889738514,-1.1523944428239785
2022-07-18 19:41:02+00:00,10.922116544097662,-85.7915195915848,18.416230264068673,6.7903602645625805,-17.205207804079528,,1.9466984878206832,-0.0065239085378357735,-0.000277042691332752,0.5969984049887925
2022-07-18 19:41:08+00:00,10.922141103073956,-85.79148279502988,18.011747934722855,10.807837563896099,-14.474370378910344,,2.2121743345892932,0.024395793610029446,0.001804620349235055,-0.03896396616134948
2022-07-18 19:41:13+00:00,10.922139761969447,-85.79144775867462,20.646493644606036,14.63313485664617,-14.623494607158202,,2.3565239966773968,0.0370500512728681,0.002892949208977372,-0.23987871822424836
2022-07-18 19:41:18+00:00,10.922129536047578,-85.79140517860651,24.870199489713,19.282060752214488,-15.760566845558769,,2.4563499700344114,-0.0025962048643712278,-0.00021160847867135351,1.1740893867535722
2022-07-18 19:43:09+00:00,10.922235231846573,-85.79136008396745,24.561251110852822,24.205529514925875,-4.007713626955315,,2.9775110275173935,-0.01521674923765264,-0.001292381442102005,2.7520697390085087
2022-07-18 19:43:27+00:00,10.922241853550076,-85.79137651249766,22.674374205383895,22.411849445146252,-3.2714127514624765,,2.996648299443552,-0.003464764063453945,-0.0005576846266518336,-2.6623749904521326
2022-07-18 19:43:32+00:00,10.92223766259849,-85.79138472676277,21.860154650472218,21.515009410256443,-3.7374259639855003,,2.969596506499101,-0.0003708625978087074,-6.426591592164587e-05,-2.004958236100475
2022-07-18 19:43:36+00:00,10.922234645113347,-85.79138615168631,21.766326413226615,21.35943511762525,-4.072955477101103,,2.953168229957059,0.00039194753046688333,6.926196086332596e-05,-1.6842755045304798
2022-07-18 19:43:41+00:00,10.922225257381797,-85.79138724133372,21.86744887608707,21.240466541724345,-5.1168250728909666,,2.905197011080714,0.0011114945036359608,0.00019945997257028885,-1.3846691500007724
2022-07-18 19:43:46+00:00,10.922219138592482,-85.79138606786728,22.158660436039693,21.36858654750233,-5.797204363100312,,2.8766736077833204,-0.0019363297327044066,-0.0003541096155014223,-2.5113870138934065
2022-07-18 19:43:50+00:00,10.9222146961838,-85.79139227047563,21.641660397407616,20.691380806049175,-6.291178368265082,,2.8464260080195687,-0.0015157761024783996,-0.0002823911642973457,2.611822564896054
2022-07-18 19:43:52+00:00,10.92221662402153,-85.7913956232369,21.22936929753349,20.32532364985841,-6.0768122905787605,,2.851074293894095,-0.0012900856613262519,-0.00024387920720962022,-2.2105529356694698
2022-07-18 19:43:56+00:00,10.922208661213515,-85.79140165820718,20.873305655007446,19.6664207667704,-6.962237394319456,,2.8013441536541985,-0.00023273596484027153,-4.431547823670924e-05,-2.5222518242733964
2022-07-18 19:43:57+00:00,10.922208074480295,-85.7914024963975,20.80860505678185,19.574906477722706,-7.027479243934751,,2.7969186500354146,-0.00027342800926283625,-5.2812807268575224e-05,1.5357433659056203
2022-07-18 19:43:59+00:00,10.922210421413183,-85.79140241257846,20.73149835816973,19.58405790621077,-6.766511844943078,,2.8089223259400375,0.0,0.0,
2022-07-18 19:44:02+00:00,10.922210421413183,-85.79140241257846,20.73149835816973,19.58405790621077,-6.766511844943078,,2.8089223259400375,-7.361854110420632e-05,-1.43707426128074e-05,1.5707963267948966
