Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-07-18,15:27:48.566,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,60,Manual,6,10.94711,-85.69290,
2022-07-18,15:27:40.387,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,59,Manual,6,10.94711,-85.69290,
2022-07-18,15:27:32.209,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,6,10.94711,-85.69290,
2022-07-18,15:27:24.029,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,59,Manual,6,10.94711,-85.69289,
2022-07-18,15:27:15.849,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,59,Manual,6,10.94712,-85.69289,
2022-07-18,15:27:07.671,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,59,Manual,6,10.94711,-85.69288,
2022-07-18,15:26:59.492,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,59,Manual,6,10.94710,-85.69286,
2022-07-18,15:26:51.312,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,57,Manual,6,10.94710,-85.69284,
2022-07-18,15:26:43.134,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,6,10.94710,-85.69284,
2022-07-18,15:26:34.955,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,0,10.94710,-85.69285,
2022-07-18,15:26:26.774,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,0,10.94710,-85.69286,
2022-07-18,15:26:18.594,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,0,10.94711,-85.69286,
2022-07-18,15:26:10.414,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,57,Manual,0,10.94711,-85.69286,
2022-07-18,15:26:02.236,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,57,Manual,0,10.94711,-85.69287,
2022-07-18,15:25:55.929,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,57,Manual,0,10.94710,-85.69286,
2022-07-18,15:25:49.623,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,0,10.94710,-85.69286,
2022-07-18,15:25:43.318,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,0,10.94710,-85.69288,
2022-07-18,15:25:37.011,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,0,10.94710,-85.69288,
2022-07-18,15:25:30.704,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,0,10.94709,-85.69288,
2022-07-18,15:25:24.399,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,60,Manual,6,10.94709,-85.69288,
2022-07-18,15:25:18.092,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,58,Manual,12,10.94710,-85.69290,
