Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-07-18,11:51:19.083,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,36,Manual,24,10.92186,-85.79636,
2022-07-18,11:50:54.542,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,43,Manual,24,10.92186,-85.79634,
2022-07-18,11:50:46.361,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,31,Manual,24,10.92186,-85.79634,
2022-07-18,11:50:30.000,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,24,10.92186,-85.79630,
2022-07-18,11:50:21.820,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,38,Manual,24,10.92187,-85.79627,
2022-07-18,11:50:13.639,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,24,10.92187,-85.79623,
2022-07-18,11:49:57.281,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,35,Manual,24,10.92189,-85.79622,
2022-07-18,11:49:49.100,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,33,Manual,24,10.92189,-85.79622,
2022-07-18,11:49:40.920,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,24,10.92189,-85.79621,
2022-07-18,11:49:32.740,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,41,Manual,24,10.92189,-85.79619,
2022-07-18,11:49:24.559,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,41,Manual,24,10.92189,-85.79619,
2022-07-18,11:49:16.380,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,18,10.92190,-85.79618,
2022-07-18,11:49:08.200,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,18,10.92190,-85.79617,
2022-07-18,11:48:51.839,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,18,10.92191,-85.79615,
2022-07-18,11:48:02.759,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,18,10.92199,-85.79609,
2022-07-18,11:47:54.580,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,18,10.92199,-85.79606,
2022-07-18,11:47:46.397,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,18,10.92199,-85.79604,
2022-07-18,11:47:38.216,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,39,Manual,18,10.92200,-85.79602,
2022-07-18,11:47:13.676,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,18,10.92203,-85.79600,
2022-07-18,11:47:05.497,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,18,10.92205,-85.79600,
2022-07-18,11:46:57.315,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,18,10.92206,-85.79600,
2022-07-18,11:46:49.141,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,41,Manual,18,10.92208,-85.79600,
2022-07-18,11:46:40.960,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,18,10.92210,-85.79601,
2022-07-18,11:46:32.777,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,38,Manual,18,10.92211,-85.79601,
2022-07-18,11:46:24.598,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,41,Manual,18,10.92212,-85.79601,
2022-07-18,11:46:16.419,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,18,10.92214,-85.79601,
2022-07-18,11:45:51.877,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,18,10.92218,-85.79598,
2022-07-18,11:45:43.696,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,37,Manual,18,10.92219,-85.79597,
2022-07-18,11:45:35.516,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,39,Manual,18,10.92220,-85.79595,
2022-07-18,11:45:27.337,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,18,10.92221,-85.79593,
2022-07-18,11:45:19.156,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,18,10.92222,-85.79591,
2022-07-18,11:43:16.449,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,6,10.92242,-85.79580,
2022-07-18,11:43:08.270,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,43,Manual,6,10.92243,-85.79579,
2022-07-18,11:39:11.047,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,0,10.92274,-85.79544,
2022-07-18,11:37:57.421,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,50,Manual,0,10.92283,-85.79537,
2022-07-18,11:37:49.242,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,50,Manual,0,10.92284,-85.79535,
2022-07-18,11:37:41.064,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,0,10.92285,-85.79533,
2022-07-18,11:37:16.520,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,50,Manual,0,10.92286,-85.79529,
2022-07-18,11:36:11.082,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,50,Manual,0,10.92291,-85.79516,
2022-07-18,11:35:46.541,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92293,-85.79511,
2022-07-18,11:35:38.358,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92293,-85.79509,
2022-07-18,11:35:30.178,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92294,-85.79506,
2022-07-18,11:35:21.998,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92294,-85.79503,
2022-07-18,11:35:13.818,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92295,-85.79501,
2022-07-18,11:35:05.636,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92296,-85.79498,
2022-07-18,11:34:57.456,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92297,-85.79498,
2022-07-18,11:34:49.277,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92298,-85.79497,
2022-07-18,11:34:41.097,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92300,-85.79495,
2022-07-18,11:34:32.916,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92301,-85.79494,
2022-07-18,11:33:52.015,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92307,-85.79485,
2022-07-18,11:33:43.835,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92308,-85.79483,
2022-07-18,11:33:35.654,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,0,10.92309,-85.79482,
2022-07-18,11:33:27.475,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92310,-85.79481,
2022-07-18,11:33:19.294,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,60,Manual,0,10.92311,-85.79479,
2022-07-18,11:33:11.113,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,0,10.92312,-85.79478,
2022-07-18,11:33:02.934,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92314,-85.79476,
2022-07-18,11:32:22.034,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92320,-85.79471,
2022-07-18,11:32:13.854,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,0,10.92321,-85.79471,
2022-07-18,11:32:05.674,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92321,-85.79469,
2022-07-18,11:31:57.495,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,0,10.92322,-85.79467,
2022-07-18,11:31:49.315,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92323,-85.79466,
2022-07-18,11:31:41.134,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92325,-85.79465,
2022-07-18,11:31:32.956,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,0,10.92326,-85.79462,
2022-07-18,11:31:24.775,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92327,-85.79460,
2022-07-18,11:31:16.595,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,0,10.92328,-85.79456,
2022-07-18,11:31:08.415,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92329,-85.79455,
2022-07-18,11:31:00.236,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,0,10.92330,-85.79454,
2022-07-18,11:30:52.055,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92331,-85.79451,
2022-07-18,11:30:35.695,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,61,Manual,0,10.92334,-85.79449,
2022-07-18,11:30:27.516,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92334,-85.79449,
2022-07-18,11:30:11.155,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,0,10.92337,-85.79448,
2022-07-18,11:30:02.975,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,66,Manual,0,10.92338,-85.79447,
2022-07-18,11:29:54.796,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,61,Manual,0,10.92339,-85.79447,
2022-07-18,11:29:46.614,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,65,Manual,0,10.92340,-85.79446,
2022-07-18,11:29:30.254,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,67,Manual,0,10.92342,-85.79446,
2022-07-18,11:29:22.074,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,66,Manual,0,10.92344,-85.79446,
2022-07-18,11:28:57.535,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,66,Manual,0,10.92347,-85.79443,
2022-07-18,11:28:49.356,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,63,Manual,0,10.92347,-85.79442,
2022-07-18,11:28:32.996,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,62,Manual,0,10.92351,-85.79437,
2022-07-18,11:28:24.816,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,65,Manual,0,10.92353,-85.79436,
