serial_no,line_counter,datetime,code_space,tag_id,sensor_adc,signal_level,noise_level,channel,latitude,longitude,total_dt,dt,delta_tof,delta_distance,total_distance
,,2022-07-18 07:09:52.718711,,,,,,,,,,,,,
,,2022-07-18 07:10:02.729218,,,,,,,,,,,,,
,,2022-07-18 07:10:12.730821,,,,,,,,,,,,,
,,2022-07-18 07:10:22.731684,,,,,,,,,,,,,
,,2022-07-18 07:10:32.735301,,,,,,,,,,,,,
,,2022-07-18 07:10:42.743413,,,,,,,,,,,,,
,,2022-07-18 07:10:52.758201,,,,,,,,,,,,,
,,2022-07-18 07:11:02.769874,,,,,,,,,,,,,
,,2022-07-18 07:11:12.772559,,,,,,,,,,,,,
,,2022-07-18 07:11:22.777264,,,,,,,,,,,,,
,,2022-07-18 07:11:32.777898,,,,,,,,,,,,,
,,2022-07-18 07:11:42.784583,,,,,,,,,,,,,
,,2022-07-18 07:11:52.786200,,,,,,,,,,,,,
,,2022-07-18 07:12:02.792285,,,,,,,,,,,,,
,,2022-07-18 07:12:12.799939,,,,,,,,,,,,,
,,2022-07-18 07:12:22.803924,,,,,,,,,,,,,
,,2022-07-18 07:12:32.818865,,,,,,,,,,,,,
,,2022-07-18 07:12:42.832545,,,,,,,,,,,,,
,,2022-07-18 07:12:52.845148,,,,,,,,,,,,,
,,2022-07-18 07:13:02.858528,,,,,,,,,,,,,
,,2022-07-18 07:13:12.865796,,,,,,,,,,,,,
,,2022-07-18 07:13:22.872112,,,,,,,,,,,,,
,,2022-07-18 07:13:32.874723,,,,,,,,,,,,,
,,2022-07-18 07:13:42.888120,,,,,,,,,,,,,
,,2022-07-18 07:13:52.900860,,,,,,,,,,,,,
,,2022-07-18 07:14:02.912531,,,,,,,,,,,,,
,,2022-07-18 07:14:12.923191,,,,,,,,,,,,,
,,2022-07-18 07:14:22.927222,,,,,,,,,,,,,
,,2022-07-18 07:14:32.927526,,,,,,,,,,,,,
,,2022-07-18 07:14:42.936950,,,,,,,,,,,,,
,,2022-07-18 07:14:52.945035,,,,,,,,,,,,,
,,2022-07-18 07:15:02.952461,,,,,,,,,,,,,
,,2022-07-18 07:15:12.952871,,,,,,,,,,,,,
,,2022-07-18 07:15:22.960563,,,,,,,,,,,,,
,,2022-07-18 07:15:32.961292,,,,,,,,,,,,,
,,2022-07-18 07:15:42.970885,,,,,,,,,,,,,
,,2022-07-18 07:15:52.979339,,,,,,,,,,,,,
,,2022-07-18 07:16:02.989153,,,,,,,,,,,,,
,,2022-07-18 07:16:13.003086,,,,,,,,,,,,,
,,2022-07-18 07:16:23.016903,,,,,,,,,,,,,
,,2022-07-18 07:16:33.025981,,,,,,,,,,,,,
,,2022-07-18 07:16:43.037604,,,,,,,,,,,,,
,,2022-07-18 07:16:53.050637,,,,,,,,,,,,,
,,2022-07-18 07:17:03.050825,,,,,,,,,,,,,
,,2022-07-18 07:17:13.059657,,,,,,,,,,,,,
,,2022-07-18 07:17:23.060628,,,,,,,,,,,,,
,,2022-07-18 07:17:33.064445,,,,,,,,,,,,,
,,2022-07-18 07:17:43.078788,,,,,,,,,,,,,
,,2022-07-18 07:17:53.079261,,,,,,,,,,,,,
,,2022-07-18 07:18:03.081374,,,,,,,,,,,,,
,,2022-07-18 07:18:13.087420,,,,,,,,,,,,,
,,2022-07-18 07:18:23.089987,,,,,,,,,,,,,
,,2022-07-18 07:18:33.103469,,,,,,,,,,,,,
,,2022-07-18 07:18:43.117102,,,,,,,,,,,,,
,,2022-07-18 07:18:53.119786,,,,,,,,,,,,,
,,2022-07-18 07:19:03.129408,,,,,,,,,,,,,
,,2022-07-18 07:19:13.136844,,,,,,,,,,,,,
,,2022-07-18 07:19:23.143865,,,,,,,,,,,,,
,,2022-07-18 07:19:33.147193,,,,,,,,,,,,,
,,2022-07-18 07:19:43.161650,,,,,,,,,,,,,
,,2022-07-18 07:19:53.166193,,,,,,,,,,,,,
,,2022-07-18 07:20:03.176600,,,,,,,,,,,,,
,,2022-07-18 07:20:13.191518,,,,,,,,,,,,,
,,2022-07-18 07:20:23.199056,,,,,,,,,,,,,
,,2022-07-18 07:20:33.199719,,,,,,,,,,,,,
,,2022-07-18 07:20:43.208892,,,,,,,,,,,,,
,,2022-07-18 07:20:53.215609,,,,,,,,,,,,,
