Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-07-18,14:30:40.230,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,12,10.92235,-85.79512,
2022-07-18,14:30:32.052,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,12,10.92235,-85.79508,
2022-07-18,14:30:15.691,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,12,10.92238,-85.79501,
2022-07-18,14:30:07.509,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,46,Manual,12,10.92240,-85.79498,
2022-07-18,14:29:10.242,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,6,10.92253,-85.79476,
2022-07-18,14:28:53.879,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,6,10.92257,-85.79471,
2022-07-18,14:28:37.517,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,6,10.92260,-85.79469,
2022-07-18,14:28:29.335,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,6,10.92262,-85.79466,
2022-07-18,14:28:21.154,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,6,10.92264,-85.79465,
2022-07-18,14:28:12.974,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,6,10.92266,-85.79465,
2022-07-18,14:28:04.792,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,6,10.92269,-85.79463,
2022-07-18,14:27:56.611,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,6,10.92271,-85.79462,
2022-07-18,14:27:48.430,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,6,10.92274,-85.79462,
2022-07-18,14:27:32.067,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,50,Manual,6,10.92279,-85.79459,
2022-07-18,14:27:23.888,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,6,10.92282,-85.79456,
2022-07-18,14:27:15.705,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,6,10.92285,-85.79455,
2022-07-18,14:26:59.345,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,6,10.92288,-85.79451,
2022-07-18,14:26:51.165,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,6,10.92289,-85.79449,
2022-07-18,14:26:42.986,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,6,10.92290,-85.79448,
2022-07-18,14:26:34.804,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,6,10.92293,-85.79445,
2022-07-18,14:26:26.625,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,46,Manual,6,10.92297,-85.79443,
2022-07-18,14:26:10.262,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,62,Manual,6,10.92302,-85.79441,
