Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-07-18,13:51:57.410,1,69,Coded Pinger,A69-1601,62213,,,,,,,,,,79,Manual,30,10.92336,-85.79185,
2022-07-18,13:51:24.563,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,30,10.92351,-85.79172,
2022-07-18,13:50:51.848,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,30,10.92356,-85.79143,
2022-07-18,13:50:43.673,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,58,Manual,30,10.92356,-85.79142,
2022-07-18,13:50:35.497,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,46,Manual,30,10.92356,-85.79140,
2022-07-18,13:50:27.318,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,30,10.92356,-85.79137,
2022-07-18,13:50:10.965,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,46,Manual,30,10.92354,-85.79134,
2022-07-18,13:50:02.786,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,30,10.92352,-85.79132,
2022-07-18,13:49:46.428,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,30,10.92348,-85.79131,
2022-07-18,13:49:38.250,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,41,Manual,30,10.92347,-85.79131,
2022-07-18,13:49:30.072,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,30,10.92345,-85.79131,
2022-07-18,13:49:13.711,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,30,10.92340,-85.79131,
2022-07-18,13:49:05.532,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,38,Manual,30,10.92338,-85.79132,
2022-07-18,13:48:57.352,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,30,10.92335,-85.79133,
2022-07-18,13:48:49.168,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,30,10.92331,-85.79134,
2022-07-18,13:48:32.810,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,30,10.92324,-85.79136,
2022-07-18,13:48:24.631,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,30,10.92320,-85.79136,
2022-07-18,13:48:00.091,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,30,10.92311,-85.79134,
2022-07-18,13:47:43.733,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,30,10.92304,-85.79131,
2022-07-18,13:47:35.552,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,30,10.92302,-85.79129,
2022-07-18,13:47:27.374,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,30,10.92299,-85.79128,
2022-07-18,13:47:02.842,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,30,10.92295,-85.79120,
2022-07-18,13:46:21.953,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,30,10.92287,-85.79111,
2022-07-18,13:46:13.775,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,30,10.92283,-85.79111,
2022-07-18,13:45:49.235,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,30,10.92276,-85.79111,
2022-07-18,13:45:32.876,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,30,10.92270,-85.79113,
2022-07-18,13:45:24.696,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,30,10.92267,-85.79114,
2022-07-18,13:45:08.334,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,30,10.92262,-85.79114,
2022-07-18,13:42:43.691,1,69,Coded Pinger,A69-1601,62213,,,,,,,,,,70,Manual,18,10.92216,-85.79092,
2022-07-18,13:41:43.854,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,12,10.92197,-85.79090,
